filename,combo,precinct_num,precinct_name,party,governor_vote
Pre_024-Habersham North-4518.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1474.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-3277.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1460.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-3263.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2169.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-3511.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-0018.tif,024,01,Habersham North,Rep,Blake Tillery
Pre_024-Habersham North-1306.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-3539.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-2627.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-4256.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0030.tif,024,01,Habersham North,Rep,John F- Kennedy
Pre_024-Habersham North-4530.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-4524.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0756.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-2633.tif,024,01,Habersham North,Dem,Michael ”Mike” Thurmond
Pre_024-Habersham North-2141.tif,024,01,Habersham North,Rep,Greg Dolezal
Pre_024-Habersham North-0742.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-2155.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0024.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-3908.tif,024,01,Habersham North,Rep,[unread]
Pre_024-Habersham North-1689.tif,024,01,Habersham North,Rep,[unread]
Pre_024-Habersham North-1879.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1851.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-0597.tif,024,01,Habersham North,Rep,[unread]
Pre_024-Habersham North-2380.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-4097.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-3920.tif,024,01,Habersham North,Rep,Rick Jackson
