snapshot_time_et,snapshot_date,source_layer,ObjectID,GlobalID,EditDate,precinct_name,precinct_location_name,precinct_address,precinct_open_closed,wait_current,lon,lat
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,65,92e1b8d7-3db4-42eb-8600-3559a4974075,1779195499104,AP09 A/B,Webb Bridge Middle,"4455 Webb Bridge Road , Alpharetta, GA 30005",Open,0.0,-84.231545,34.06688299999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,66,cecde781-ba5c-4f4b-8c2a-170fd635fb48,1779193064937,AP14 & AP14A,Ocee Elementary,"4375 Kimball Bridge Road , Johns Creek, GA  30022",Open,0.0,-84.23172499999998,34.053414
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,67,04799470-abe8-4bd7-960f-91ae80543763,1776445464358,CH01 & CH01B & CH02 & CH03 & CH04A & CH05 & CH05A,Chattahoochee Hills City Hall,"6505 Rico Road , Chattahoochee Hills, GA 30268",Open,0.0,-84.769162,33.57899799999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,68,b87a2cb3-f22a-4b60-af06-9c15e15b7b68,1779194410840,"CP011 & CP012, CP01B, CP02, CP04A",College Park Auditorium,"3631 Main Street , College Park, GA  30337",Open,0.0,-84.449267,33.65579799999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,69,4f89c297-d82c-4507-9fa7-d2b050dc878c,1779195640267,CP05B/C & CP06A/B & CP07A/B/C/D,College Park Library,"3647 Main Street , College Park, GA  30337",Open,0.0,-84.44809399999998,33.655542999999994
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,70,2e05322b-3a9a-44e7-a215-1b2a50851bb3,1779195570478,CP08 1/3/4/A  & SC10,Tracey Wyatt Community Center,"2300 Godby Road  , College Park, GA  30349",Open,0.0,-84.464525,33.615466999999995
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,71,715375b1-f8cd-4b03-8760-ab7d96e104e4,1776445464358,EP01 A/B/C/D,Bowden Senior Center,"2885 Church Street , East Point, GA  30344",Open,0.0,-84.445695,33.677461999999984
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,72,78fdf631-c0fb-4f50-88b9-04e721be701c,1779191809144,EP02 A/B/C/D/E,Jefferson Park Recreation Center,"1431 Norman Berry Drive , East Point, GA  30344",Open,0.0,-84.436005,33.682160999999994
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,73,9e553be3-4a6c-4f71-8a4e-38518a648857,1779192927424,EP03A/B/C & EP04C/D,St Stephen Missionary Baptist Church,"2670 Hogan Road , East Point, GA  30344",Open,1.0,-84.476277,33.677732999999996
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,74,885c8b0b-d1a5-4854-8cd5-9379249b2865,1776445464358,EP04A & SC08J & SC19 A/B/C,Solid Rock Pentecostal Church,"4707 Washington Road , South Fulton, GA  30349",Open,0.0,-84.49209799999998,33.627691
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,75,9eaf5790-4261-4782-aeee-51252135296a,1779195924403,EP04B & SC08C & SC17A/B/C/D,Welcome All Recreation Center,"4255 Will Lee Road , College Park, GA  30349",Open,0.0,-84.527539,33.63102999999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,76,345868b4-0d59-4eed-95de-331cf8d0449a,1779192223514,FA01A,Open Word Christian Ministries,"6230 Highway 92 , Fairburn, GA  30213",Open,0.0,-84.613335,33.61461299999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,77,10d742c1-36eb-4b0d-87f0-3a4f986e4229,1779195779326,FA01B,Fairburn Annex,"40 Washington Street , Fairburn, GA  30213",Open,0.0,-84.58321,33.566886999999994
